Facility Type,Name,Atoll,Island,Phone,Email
Guest House,Goby Lodge,Alifu Dhaalu,Mahibadhoo,"9787073
7787073",goby777@gmail.com
Guest House,Karanka Villas,Alifu Dhaalu,Mahibadhoo,7772125,kvillasmaldives@gmail.com
Guest House,Noovilu Suites,Alifu Dhaalu,Mahibadhoo,9119938,noovilusuites@gmail.com
Guest House,Oceanvine,Alifu Dhaalu,Mahibadhoo,7916775,info@oceanvinemaldives.com
Guest House,Raalhu Fonu Maldives,Alifu Dhaalu,Mahibadhoo,9942372,raalhufonu@gmail.com
Guest House,Vilu Thari Inn Maldives,Alifu Dhaalu,Mahibadhoo,7715383,viluthari-maldives@gmail.com
Guest House,Infinite Lagoon Guest House,Alifu Dhaalu,Mandhoo,7839239,infinitelagoon@gmail.com
Hotel,Fiyavalhu Maldives,Alifu Dhaalu,Mandhoo,6680066,"info@fiyavalhumaldives.com

Website: https://fiyavalhumaldives.com/"
Guest House,Ahi Maldives,Alifu Dhaalu,Omadhoo,7907558,ahimaldives@gmail.com
Guest House,Avenly Omadhoo,Alifu Dhaalu,Omadhoo,7776496,hello@avenlymaldives.com
Guest House,Bird Beak Beach,Alifu Dhaalu,Omadhoo,7950013,birdbeakbeach@gmail.com
Guest House,Green Leaf Omadhoo,Alifu Dhaalu,Omadhoo,9759909,h.naaif.scott@gmail.com
Guest House,Hitha Maldives,Alifu Dhaalu,Omadhoo,9175075,hithamaldives@gmail.com
Guest House,Kashiveli Omadhoo,Alifu Dhaalu,Omadhoo,7933222,reservations@kashiveli.mv
Guest House,Kirulhiya Maldives,Alifu Dhaalu,Omadhoo,9621313,kirulhiyamaldives@gmail.com
Guest House,Kuri Beach View Inn,Alifu Dhaalu,Omadhoo,7416965,kuribeachvilla@gmail.com
Guest House,Kuri Inn,Alifu Dhaalu,Omadhoo,"7416965
7914119","info@kuriinn.net
kuriinngh@gmail.com"
Guest House,Nemo Inn,Alifu Dhaalu,Omadhoo,9187555,info@nemoinn.com
Guest House,Noomuraka Inn,Alifu Dhaalu,Omadhoo,7914628,noomurakainn@gmail.com
Guest House,Omadhoo Coral View Inn,Alifu Dhaalu,Omadhoo,7751175 / 7745155,info@coralviewinn.com
Guest House,Omadhoo Inn Grand,Alifu Dhaalu,Omadhoo,7779966,info@omadhooinn.com
Guest House,Rayva Inn,Alifu Dhaalu,Omadhoo,9944978,loince1234@gmail.com
Guest House,Sorenzo Maldives,Alifu Dhaalu,Omadhoo,7950013,birdbeakbeach@gmail.com
Guest House,Swims Maldives,Alifu Dhaalu,Omadhoo,9905771,swimsmaldives@gmail.com
Guest House,Turtle Maldives,Alifu Dhaalu,Omadhoo,"7887979
7904456
9999197",info@turtlemaldives.com
Home Stay,Luma Boutique Stay,Alifu Dhaalu,Omadhoo,9558888,ibrahimnabyh@gmail.com
Home Stay,Reethi Stay Omadhoo,Alifu Dhaalu,Omadhoo,9713237,reethistayomadhoo@gmail.com
Guest House,Aire Dharavandhoo,Baa,Dharavandhoo,7774813,asifriza@gmail.com
Guest House,Athirige,Baa,Dharavandhoo,7792206,"ahmedrasheed26@live.com
bisaprivatelimited@gmail.com"
Guest House,Bageecha Stay,Baa,Dharavandhoo,7771526,bageechaguest@gmail.com
Guest House,Biosphere Beach,Baa,Dharavandhoo,7904902,hamdan.kendo@gmail.com
Guest House,Biosphere Inn,Baa,Dharavandhoo,7792206,info@biosphereinn.com
Guest House,Blue World Dharavandhoo,Baa,Dharavandhoo,7778733,info@blueworlddharavandhoo.com
Guest House,Chak'z 1964 Beach,Baa,Dharavandhoo,9998391,liminospvt@gmail.com
Guest House,Dharavandhoo Fishing Club,Baa,Dharavandhoo,7991712,drvfishingclub@gmail.com
Guest House,Faima Fishing Lodge,Baa,Dharavandhoo,"7776838
7946494",faimainvestments@gmail.com
Guest House,Fen Villa,Baa,Dharavandhoo,9688999,shuhailahmed@gmail.com
Guest House,Hanifaru Transit Inn,Baa,Dharavandhoo,"9857344
7778238",info@hanifarutransitinn.com
Guest House,Island Ufaa Dharavandhoo,Baa,Dharavandhoo,9229966,info@islandufaa.com
Guest House,Kiha Beach,Baa,Dharavandhoo,"7796699
7761495",info@kihabeach.com
Guest House,L.V.I.S Blancura,Baa,Dharavandhoo,7793646,info@lvishotels.com
Guest House,L.V.I.S Pool Villa,Baa,Dharavandhoo,7793646,info@lvishotels.com
Guest House,L.V.I.S Village,Baa,Dharavandhoo,7793646,info@lvishotels.com
Guest House,Manta Sky Inn,Baa,Dharavandhoo,9884988,mantaskyinn@gmail.com
Guest House,Oceara Dharavandhoo,Baa,Dharavandhoo,9339772,oceara2025@gmail.com
Guest House,Reposo View,Baa,Dharavandhoo,7892951,info@bellmaldives.com
Guest House,Turtle Inn Dharavandhoo,Baa,Dharavandhoo,7772570,imthiyaz@turtleinn.mv
Home Stay,Anam Villa,Baa,Dharavandhoo,9556017,stay@anamvilla.co
Guest House,Fehi Velaa Stay,Baa,Dhonfanu,7891917,hu.ramyx@gmail.com
Guest House,Hudhu Velaa,Baa,Dhonfanu,9868282,novinox@gmail.com
Guest House,Ale Sara Guest (Baa),Baa,Eydhafushi,7416222,alesarabaa@gmail.com
Guest House,Atholhu Residence,Baa,Fehendhoo,7422422,hello@atholhuresidence.mv
Guest House,Coconut Drift Maldives,Baa,Fehendhoo,9565713,coconutdriftmaldives@gmail.com
Guest House,Isla Retreat,Baa,Fehendhoo,7755900,hello@islaretreat.com
Guest House,Scenic Grand,Baa,Fehendhoo,7776893,inthi18@gmail.com
Guest House,Sky Village,Baa,Fehendhoo,7905342,naeemu.mohamed@gmail.com
Guest House,Tropical Tree,Baa,Fehendhoo,7779293,lirar9293@gmail.com
Guest House,Villa Soulmate,Baa,Fehendhoo,9651880,"merkulova-tatiana@yandex.ru 
Info.mohamedsiyam@gmail.com"
Home Stay,Cove Fehendhoo,Baa,Fehendhoo,7778720,feedm@hotmail.com
Home Stay,Magic Paradise Garden,Baa,Fehendhoo,9745608,info.mpgfehendhoo@gmail.com
Hotel,Amilla Fushi,Baa,Finolhas,6606444,"reserve@amilla.com

Website: https://amilla.com/"
Guest House,Ahiva Village,Baa,Fulhadhoo,"9365914
7783316",info@ahivavillage.com
Guest House,Azoush Tourist Guesthouse,Baa,Fulhadhoo,7976862 / 7776862,azoushtours@gmail.com
Guest House,Faana Inn,Baa,Fulhadhoo,7696569,faanainn@gmail.com
Guest House,Island Luxury Dive,Baa,Fulhadhoo,7772458,ziyad@secretparadise.mv
Guest House,Island Luxury Fulhadhoo,Baa,Fulhadhoo,7772458,ziyad@islandluxury·mv
Guest House,Palms Retreat,Baa,Fulhadhoo,7540793,palmsretreat@gmail.com
Guest House,Three Heart Guest House,Baa,Fulhadhoo,7783316,threeheartsmaldives@yahoo.com
Guest House,Zen Inn Fulhadhoo,Baa,Fulhadhoo,9998296,sara@zeninnmaldives.com
Home Stay,Aaru Inn,Baa,Fulhadhoo,7563242,maumoon70@gmail.com
Home Stay,Ahiva Suites,Baa,Fulhadhoo,9365914,info@ahivavillage.com
Home Stay,Baltic,Baa,Fulhadhoo,7783501 / 7781508,ixnmaldives@gmail.com
Home Stay,Beach Inn Fulhadhoo,Baa,Fulhadhoo,7772595,beach.inn@outlook.com
Home Stay,Frangipani Fulhadhoo,Baa,Fulhadhoo,7787992,ahmedasif.7787992@gmail.com
Home Stay,Gaskara Inn,Baa,Fulhadhoo,7782267,mshainee@hotmail.com
Home Stay,Jazeera Beach,Baa,Fulhadhoo,7716394,saifullahrasheed57@gmail.com
Home Stay,Lemuria Fulhadhoo,Baa,Fulhadhoo,7775808,baafulhadhoo@gmail.com
Home Stay,Marvel Stay Fulhadhoo,Baa,Fulhadhoo,7631323,marvelstayfulhadhoo@gmail.com
Home Stay,Pearl Villa,Baa,Fulhadhoo,7592543,mojemalediwy@gmail.com
Home Stay,The Fulhadhoo Beach Cottage,Baa,Fulhadhoo,7744825,mohamed.m.adnan@hotmail.com
Home Stay,Three Hearts Villas,Baa,Fulhadhoo,7783316,threeheartsmaldives@yahoo.com
Home Stay,Villa Laguna Maldives,Baa,Fulhadhoo,7950795,faidha.saeed@gmail.com
Home Stay,Villa Mia,Baa,Fulhadhoo,7792653,ibrahim@medical-swiss.mv
Guest House,Athiri Residence Goidhoo,Baa,Goidhoo,9997535,athiriresidences@gmail.com
Guest House,Island Zephyr,Baa,Goidhoo,7795264,senjpvtltd@gmail.com
Guest House,The Corbin Guest House,Baa,Goidhoo,7655243,imanfaisal10@outlook.com
Home Stay,Ahiva Suites Goidhoo,Baa,Goidhoo,9365914,info@ahivavillage.com
Home Stay,Kinbi Private Villa,Baa,Goidhoo,7771651,majid1037@gmail.com
Guest House,Hithaa Inn & Spa,Baa,Hithaadhoo,9811400,ginamaamaldives@gmail.com
Guest House,Rindhali Stay,Baa,Hithaadhoo,9966772,hasybu@gmail.com
Guest House,Baa Sand Maldives,Baa,Kadarikilu,7777754,info@baasand.mv
Guest House,Nihaali Maldives,Baa,Kadarikilu,"7788035
7788039",nihaalimaldives@gmail.com
Guest House,Akomadoo,Baa,Kamadhoo,7791232,hrmanager@fantasy.com.mv
Guest House,Biosphere by Hawks,Baa,Kamadhoo,7779133,"info@thehawks.biz
hussainaman@thehawks.biz"
Guest House,Cher Maldives,Baa,Kamadhoo,7775153,info@chermaldives.com
Guest House,Go Kamadhoo,Baa,Kamadhoo,7915389,themeinvestmv@gmail.com
Guest House,Hanifaru Beach Inn,Baa,Kamadhoo,7783265,info@hanifarubeachinn.com
Guest House,Ithaa Inn Kamadhoo,Baa,Kamadhoo,9572244,ithaainn.kamadhoo@gmail.com
Guest House,Kamadhoo Inn,Baa,Kamadhoo,7989721,info@kamadhooinn.com
Guest House,La Plage Maldives,Baa,Kamadhoo,7598021,islandtrevally@gmail.com
Guest House,Nest by Hawks,Baa,Kamadhoo,9680806,info@mafhaa.com
Guest House,Seagrove Inn,Baa,Kamadhoo,7992048,peace0177@gmail.com
Guest House,Silver Bay Kamadhoo,Baa,Kamadhoo,7777456,shafeeq@theocean4.com
Guest House,Swarn By Hawks,Baa,Kamadhoo,7414324,"hussainaman@thehawks.biz
info@mafhaa.com"
Guest House,View Kamadhoo,Baa,Kamadhoo,7996612,havaasme@gmail.com
Guest House,Wings by Hawks,Baa,Kamadhoo,9680806,info@mafhaa.com
Home Stay,White Tulip Inn,Baa,Kamadhoo,7868114,amji.amee@gmail.com
Guest House,Dhoani Maldives Guesthouse,Baa,Kendhoo,9839977,contact@dhoanimaldives.com
Guest House,Fasdheythere Inn,Baa,Kendhoo,9532599,fasdheytheremaldives@gmail.com
Guest House,Kendhoo Holidays,Baa,Kendhoo,7974432,kendhooholidays@gmail.com
Guest House,The Blue Cave,Baa,Kendhoo,7224327,admin@alkahfmv.com
Guest House,Amaria Maldives,Baa,Kihaadhoo,9140788,amariamaldives@gmail.com
Guest House,Kihaa Holiday Home,Baa,Kihaadhoo,7795883,reservations@kihaaholidays.com
Guest House,Fiya Inn,Baa,Maalhos,9994365,fiyamaldives6@gmail.com
Guest House,Island Luxury Retreat,Baa,Maalhos,7772458,info@islandluxury.mv
Guest House,Madi Giri,Baa,Maalhos,7250046,madihotels@gmail.com
Guest House,Manta Reserve,Baa,Maalhos,7288881,stay@mantareserve.com
Guest House,Moonshell Residence,Baa,Maalhos,7994931,sales@opulencemaldives.com
Guest House,Thundi by Biosphere,Baa,Maalhos,7904902,reservation1@thundivillage.com
Guest House,Thundi Ocean View,Baa,Maalhos,7757232,oceanview@thundihotels.com
Guest House,Thundi Villa,Baa,Maalhos,7757232,villa@thundihotles.com
Guest House,Dhonveli Inn,Dhaalu,Bandidhoo,7970180,info@dhonveliinn.com
Guest House,Hide Inn Blue,Dhaalu,Hulhudheli,9187636,hideinn.mv@gmail.com
Guest House,Hulhudheli Inn,Dhaalu,Hulhudheli,9911774,info@hulhudheli.com
Guest House,Blue Wave Guest House,Dhaalu,Kudahuvadhoo,9999249,shamyym@gmail.com
Guest House,Dhaalu Inn Kudahuvadhoo,Dhaalu,Kudahuvadhoo,7650653,dhaaluinn@gmail.com
Guest House,Oceana Inn Maldives,Dhaalu,Kudahuvadhoo,7775998,oceanamaldives@gmail.com
Guest House,Green Inn,Dhaalu,Maaenboodhoo,7492422,irfnnn@gmail.com
Guest House,Kokaa Villaa Maaenboodhoo,Dhaalu,Maaenboodhoo,7774624,sinaan111@gmail.com
Guest House,Villa Delfino,Dhaalu,Ribidhoo,7783979,admin@travel360maldives.com
Guest House,Feeali Buddies Inn,Faafu,Feeali,9825191,feealibuddieshotel@gmail.com
Guest House,Palm Rest - Magoodhoo,Faafu,Magoodhoo,9992313 / 9559111,"ahmedshakir777@gmail.com
zmisag@gmail.com"
Guest House,Balma Beach Inn,Faafu,Nilandhoo,9774115,balmabeachinn@gmail.com
Guest House,Dhebanveli,Faafu,Nilandhoo,7774649,info@rhmaldives.com
Guest House,Orchid Inn Guest House,Faafu,Nilandhoo,7979290,jalyl.projects@gmail.com
Guest House,Remora by Magdalena,Faafu,Nilandhoo,9711066,info@magdalenatravels.com
Guest House,Remora Summer House,Faafu,Nilandhoo,9711066,info@magdalenatravels.com
Guest House,Bougain Villa Guest House,Gaafu Alifu,Gemanafushi,7881313,asimgem@gmail.com
Guest House,Coral Shine,Gaafu Alifu,Gemanafushi,9997735,m.mubyyn@gmail.com
Guest House,Equator Sandy Beach,Gaafu Alifu,Gemanafushi,9830631,equatorsandybeach@gmail.com
Guest House,Oceanic Inn,Gaafu Alifu,Kolamaafushi,7788401,sales.elegantstream@gmail.com
Guest House,Kondey Garden Villa,Gaafu Alifu,Kondey,7773529,ahmedjinahu@gmail.com
Guest House,Suncoral Maldives,Gaafu Alifu,Kondey,7972220,blackplanet3481@gmail.com
Hotel,Mercure Maldives Kooddoo,Gaafu Alifu,Kooddoo,6820003,emmanuel.marion@accor.com
Guest House,Fishing Maldives Residence,Gaafu Alifu,Maamendhoo,9555255,asadhullarasheed143@gmail.com
Guest House,Huvadhoo Lodge,Gaafu Alifu,Maamendhoo,9954903,concave.maldives@gmail.com
Guest House,Village Life,Gaafu Alifu,Maamendhoo,7779924,info@villagelifemaldives.com
Guest House,Village Life Residence,Gaafu Alifu,Maamendhoo,7779924,info@villagelifemaldives.com
Guest House,Thigo Dreams,Gaafu Alifu,Nilandhoo,7638623,thaaddey@gmail.com
Guest House,Ekefaru Inn,Gaafu Alifu,Villingili,7600945,ekefaruinn@gmail.com
Guest House,Fathikoyhe,Gaafu Alifu,Villingili,7514680,syedbe1151@gmail.com
Guest House,Vision Inn,Gaafu Alifu,Villingili,9991523,visioninnn@gmail.com
Home Stay,Blossom Inn,Gaafu Alifu,Villingili,9752424,share.ishaan@gmail.com
Home Stay,Vashi Inn,Gaafu Alifu,Villingili,9145243 / 9793206,info@vashi.mv
Guest House,Small Island Lodge,Gaafu Dhaalu,Faresmaathodaa,7933664,smallislandlodge@gmail.com
Guest House,Sunset Private Villa,Gaafu Dhaalu,Fiyoaree,9996817,kappi6817@gmail.com
Guest House,Surf House By Konalle,Gaafu Dhaalu,Gadhdhoo,7910215,info@konalle.com
Guest House,FSS Residence,Gaafu Dhaalu,Hoandehdhoo,9655380,fssmaldives@gmail.com
Guest House,Vaaruge Residence,Gaafu Dhaalu,Hoandehdhoo,9997411,vaavugeresidence@gmail.com
Guest House,Palm Tree Tourist Village,Gaafu Dhaalu,Rathafandhoo,7990714,palmtreerathafandhoo@gmail.com
Guest House,Alocasia Villa,Gaafu Dhaalu,Vaadhoo,7998903,ahseyrialocasia@gmail.com
Guest House,Avanti Vaadhoo,Gaafu Dhaalu,Vaadhoo,"9111190
9774131",sales@avantivaadhoo.com
Guest House,Laguna Retreat,Gaafu Dhaalu,Vaadhoo,9181227 / 9163634,"info@thelagunaretreat.com
funamabrothers@gmail.com"
Guest House,Aariyaa View,Gnaviyani,Fuvahmulah,7781629,ibrahimdidi1629@gmail.com
Guest House,AIG Grand,Gnaviyani,Fuvahmulah,7998195,fortuneclasspvtltd@gmail.com
Guest House,Apex Fuvahmulah,Gnaviyani,Fuvahmulah,7900966,inah@pelagicdiversfuvahmulah.com
Guest House,Ataraxis Grand and Spa,Gnaviyani,Fuvahmulah,7798390,meenizar@gmail.com
Guest House,Calyx Boutique and Spa,Gnaviyani,Fuvahmulah,7775078,farzad.calyx@gmail.com
Guest House,Endhaa Divers Home,Gnaviyani,Fuvahmulah,7783233,mujura74@hotmail.com
Guest House,Equator Retreat,Gnaviyani,Fuvahmulah,7796753,equatorretreat@gmail.com
Guest House,Fuvahmulah Central,Gnaviyani,Fuvahmulah,7970010,info@fuvahmulahcentralhotel.com
Guest House,Hedheykuri Residence,Gnaviyani,Fuvahmulah,7779208 / 7978495,aan12342001@gmail.com
Guest House,Hikers Villa,Gnaviyani,Fuvahmulah,7770611,"hikersvilla@gmail.com
atollhikers@gmail.com"
Guest House,Isle Inn,Gnaviyani,Fuvahmulah,9990392,issayoh@gmail.com
Guest House,Isle Royal Inn,Gnaviyani,Fuvahmulah,9511223,isleroyalmv@gmail.com
Guest House,Maa Thundi,Gnaviyani,Fuvahmulah,7783740,dhimohd@gmail.com
Guest House,Ocean Pearl FVM,Gnaviyani,Fuvahmulah,7557584,Marketing@oceanpearlfvm.com
Guest House,Ocean Shark Inn,Gnaviyani,Fuvahmulah,9711119,dhimohd@gmail.com
Guest House,Sameydhaan Inn Fuvahmulah,Gnaviyani,Fuvahmulah,7440702,"sameydhaan01gmail.com
hello@sameydhaaninn.com"
Guest House,Shark Lounge,Gnaviyani,Fuvahmulah,7787360,hello@sharkslounge.com.
Guest House,Silver County,Gnaviyani,Fuvahmulah,7665476,hello@silvercountymv.com
Guest House,Suffix Retreat,Gnaviyani,Fuvahmulah,7901719,suffixretreat@outlook.com
Guest House,The Sandscape,Gnaviyani,Fuvahmulah,7799363,info@sandscape.mv
Guest House,Tiger Shark Retreat,Gnaviyani,Fuvahmulah,9321001,kevin@i-xsports.com
Guest House,Wanderlust Fuvahmulah,Gnaviyani,Fuvahmulah,6865656,kurimaa@outlook.com
Guest House,Zero Degree Residence,Gnaviyani,Fuvahmulah,7610676 / 7657363,info@zerodegree-residence.com
Home Stay,Extreme Dive Inn Fuvahmulah,Gnaviyani,Fuvahmulah,7788130,extremediveinn@gmail.com
Home Stay,Holiday Home Fuvahmulah,Gnaviyani,Fuvahmulah,7775754,holidayhomefvm@gmail.com
Home Stay,Nasreenu Villa,Gnaviyani,Fuvahmulah,7269978,zurarath.wafir@gmail.com
Home Stay,Noya Inn,Gnaviyani,Fuvahmulah,7922500,shafeenaadam3@gmail.com
Home Stay,We 7 Stay,Gnaviyani,Fuvahmulah,7773894,a.azeezismail@gmail.com
Guest House,Dhidhdhooinn Beachview,Haa Alifu,Dhidhdhoo,9441491,dhidhdhooinn@gmail.com
Guest House,Udhares Inn,Haa Alifu,Dhidhdhoo,7656766,udaresinnmaldives@gmail.com
Guest House,Annama Lodge and Dive,Haa Alifu,Hoarafushi,7965140,annamalodge@gmail.com
Guest House,Araaik Beach Village,Haa Alifu,Hoarafushi,9996064,thowfeeq@gmail.com
Guest House,Manaam Residence,Haa Alifu,Hoarafushi,9999890,aminathali672@gmail.com
Guest House,Beach Home Kelaa,Haa Alifu,Kelaa,7992882,info@beachhomekelaa.com
Guest House,Holiday Home Kelaa,Haa Alifu,Kelaa,7917976,info@holidayhomekelaa.mv
Guest House,Kokaa Residence,Haa Alifu,Kelaa,9975956,kokaaresidences@gmail.com
Guest House,Shades of Blue,Haa Alifu,Kelaa,7783978,ziyamysterio@gmail.com
Guest House,Summer Home,Haa Alifu,Kelaa,7793338,info@summerhomekelaa.com
Guest House,Thooru Stay,Haa Alifu,Kelaa,7773470,info@thooru.com
Guest House,Uligan Marina Beach Maldives,Haa Alifu,Uligan,7772100,saleem@ctnt.com
Guest House,Utheemu Bahaaru Inn,Haa Alifu,Utheemu,7925060,asrar.adam@gmail.com
Guest House,Aquavilla by Aquaholic,Haa Alifu,Vashafaru,7788088,info@aquaholicmaldives.com
Guest House,Beach Inn Vashafaru,Haa Alifu,Vashafaru,7795071,scubagearmaldives@gmail.com
Guest House,Blue Coral Vashafaru Maldives,Haa Alifu,Vashafaru,7329091,bluecoralmaldives@gmail.com
Guest House,Casa Mia Inn Vashafaru,Haa Alifu,Vashafaru,9896214,casamiainn.vashafaru@gmail.com
Guest House,Oceano Beach Vashafaru,Haa Alifu,Vashafaru,9900915,info.oceanbeach@gmail.com
Guest House,Stay Vashafaru,Haa Alifu,Vashafaru,9800524,stayvashafaru.mv@gmail.com
Guest House,Vashafaru Inn,Haa Alifu,Vashafaru,7798002,stay@vashafaru.com
Guest House,Vashafaru Inn 2,Haa Alifu,Vashafaru,7798002,stay@vashafaru.com
Guest House,Turtle Nest,Haa Dhaalu,Finey,9795351,amjadabdul979@gmail.com
Guest House,Cerulean View,Haa Dhaalu,Hanimaadhoo,7691234,reservations@ceruleanviewresidence.com
Guest House,Himeyn Beach Inn Maldives,Haa Dhaalu,Hanimaadhoo,9700041,info@himeynbeach.com
Guest House,Tropical Lodge,Haa Dhaalu,Hanimaadhoo,7936133,tropical.lodge.gt@gmail.com
Guest House,Vilu Veli Holiday Retreat,Haa Dhaalu,Hanimaadhoo,7283033,info@viluveli.com
Hotel,The Barefoot Eco Hotel,Haa Dhaalu,Hanimaadhoo,6529000,"info@thebarefoot.com

Website: https://www.thebarefoot.com/"
Home Stay,Bahee Residence,Haa Dhaalu,Kulhudhuffushi,7771009,ooba1009@gmail.com
Home Stay,Beachside Homestay,Haa Dhaalu,Kulhudhuffushi,9882329,luveyzaa@gmail.com
Guest House,Vinca Bloom,Haa Dhaalu,Makunudhoo,7904977,ahmedrazy3702@gmail.com
Guest House,Araam Inn,Haa Dhaalu,Naivaadhoo,9728336,manchali75@gmail.com
Guest House,Ocean Voice Beach,Haa Dhaalu,Nolhivaranfaru,7771322,trips.maldives@icloud.com
Guest House,Boegas View,Haa Dhaalu,Vaikaradhoo,9445151,waddy1981@yahoo.co.uk
Guest House,Ameera Guest House,Kaafu,Dhiffushi,9648473,info@ameeramaldives.com
Guest House,Araamu Holidays and Spa,Kaafu,Dhiffushi,"6644554
7991606
7793437",info@araamuholidays.com
Guest House,Athiri Residence Dhiffushi,Kaafu,Dhiffushi,9123388,athiriresidences@gmail.com
Guest House,Club Kaafu,Kaafu,Dhiffushi,7779277,clubkaafu@gmail.com
Guest House,Comfy Cool Breeze by eMzaz,Kaafu,Dhiffushi,7941001,admin@emzaz.com
Guest House,Crown Beach Maldives,Kaafu,Dhiffushi,9123456,hello@crownbeachhotel.com
Guest House,Dhiffushi Inn,Kaafu,Dhiffushi,9133958,dhiffushi.inn@gmail.com
Guest House,Dhiffushi Inn Sea View,Kaafu,Dhiffushi,9985488,dhiffushi.inn@gmail.com
Guest House,Dhiffushi Island Villa,Kaafu,Dhiffushi,"7362179
9835557",dhiffushiislandvilla@gmail.com
Guest House,Dhiffushi Reef & Beach,Kaafu,Dhiffushi,7755965,mairmaldives@gmail.com
Guest House,Dhiffushi Tourist,Kaafu,Dhiffushi,7774749,dhiffushihotel@gmail.com
Guest House,Endorphins Beach Villa,Kaafu,Dhiffushi,9490215,endorphinshotelspvtltd@gmail.com
Guest House,Heron Beach Dhiffushi,Kaafu,Dhiffushi,9906624 / 7777277,sales@heronmaldives.com
Guest House,Isla Dhiffushi,Kaafu,Dhiffushi,7670100,isla.dhiffushi@gmail.com
Guest House,Noorani Retreat,Kaafu,Dhiffushi,7774365,maisoonfirag@gmail.com
Guest House,Ocean Villa,Kaafu,Dhiffushi,9123456,hello@oceanvilladhiffushi.com
Guest House,Portia and Spa,Kaafu,Dhiffushi,7996163,portiahotel@gmail.com
Guest House,Rashu Hiyaa,Kaafu,Dhiffushi,"3326787
7954904
9667505",info@rashuhiyaa.mv
Guest House,Seaside Beach Villa,Kaafu,Dhiffushi,7969197,habeeb@fasfinntravel.com
Guest House,Si Beach House,Kaafu,Dhiffushi,3016669,nabeel@edelweissventures.net
Guest House,Sky Beach Dhiffushi,Kaafu,Dhiffushi,6641001,info@skybeach.com
Guest House,Stone Beach Club,Kaafu,Dhiffushi,9993411,info@stonehotels.mv
Guest House,The Sunset Villa,Kaafu,Dhiffushi,7789197,habeeb@fasfinntravel.com
Guest House,Velaa Vani Dhiffushi,Kaafu,Dhiffushi,9562271,Velaavanidhiffushi@gmail.com
Guest House,Veli Vilaa,Kaafu,Dhiffushi,7781702,info@velivilaa.com
Guest House,VillaBlu Dhiffushi,Kaafu,Dhiffushi,7864707,hello@villablumaldives.com
Hotel,Stone Hotels Dhiffushi,Kaafu,Dhiffushi,3328888,"reservation@stonehotels.mv
paul.benedict@stonehotels.com"
Guest House,Futtaru Sands,Kaafu,Gaafaru,7834152,mohamedsanih15@gmail.com
Guest House,Gaafaru View Inn Maldives,Kaafu,Gaafaru,9417717,gaafaruviewinn05@gmail.com
Guest House,Mariana Inn,Kaafu,Gaafaru,9929926,marketing@marianasafari.com
Guest House,Niru Isle Maldives,Kaafu,Gaafaru,7999806,niruislemaldives@gmail.com
Guest House,Old Town Inn,Kaafu,Gaafaru,7775282 / 7786547,oldtowninn.gaafaru@gmail.com
Guest House,Pavona Maldives,Kaafu,Gaafaru,9171738,hello@pavonamaldives.com
Guest House,Pearl Stay,Kaafu,Gaafaru,7588232,firaz1992@gmail.com
Guest House,Stay Salty,Kaafu,Gaafaru,9169060,staysaltymaldives@gmail.com
Guest House,Sunrise Lagoon,Kaafu,Gaafaru,9589688,riyattey009@gamil.com
Guest House,The Palm Retreat,Kaafu,Gaafaru,9707335,thepalmretreat23@gmail.com
Guest House,TideViewInn,Kaafu,Gaafaru,7399969,Coconutcovepvtltd@gmail.com
Home Stay,Sunshine Stay @ Gaafaru,Kaafu,Gaafaru,9664080,burulu180@gmail.com
Guest House,Aimi Beach,Kaafu,Gulhi,7793992,aimibeachmv@gmail.com
Guest House,Aqua Gulhi,Kaafu,Gulhi,7779936,Aquadigitalmediamv@gmail.com
Guest House,Aqua Sunset,Kaafu,Gulhi,7776931,aquaholdingsmv@gmail.com
Guest House,Arrival Beach and Spa,Kaafu,Gulhi,7774965,accounts@vtravelsmaldives.com
Guest House,Arrival Seaview,Kaafu,Gulhi,7774965,accounts@vtravelsmaldives.com
Guest House,Avyanna Gulhi Beach,Kaafu,Gulhi,9988828,marketing@avyannamaldives.com
Guest House,Ayala Homely,Kaafu,Gulhi,9664412,sales@ayalamaldives.com
Guest House,Ayala Ocean View,Kaafu,Gulhi,9664412/6648001,sales@ayalamaldives.com
Guest House,Beach Stone,Kaafu,Gulhi,7955002,greatergomv@gmail.com
Guest House,Beach Walk Villa,Kaafu,Gulhi,9995111/7774664,"hamdhun@gmail.com
beachwalkmaldives@gmail.com"
Guest House,Coquillage Inn,Kaafu,Gulhi,7778913,"mrashafeeq@gmail.com
searidemv@gmail.com"
Guest House,Pearlshine Retreat Maldives,Kaafu,Gulhi,7373292,pearlshinemaldives@gmail.com
Guest House,Premier Beach,Kaafu,Gulhi,9799866 / 9867157,info@premierbeach.com.mv
Guest House,Sandy Heaven Maldives,Kaafu,Gulhi,7622582,booking@sandyheavenmaldives.com
Guest House,Tropic Tree,Kaafu,Gulhi,7776483,info@tropicxmaldives.com
Guest House,29.9,Kaafu,Guraidhoo,7941897,laughf@gmail.com
Guest House,Adroit Sunset View,Kaafu,Guraidhoo,7776257,adroitbeachinn@hotmail.com
Guest House,Athens View,Kaafu,Guraidhoo,"7566353
7786333",athensviewmaldives@outlook.com
Guest House,Beach Heaven Guraidhoo,Kaafu,Guraidhoo,7877784,ceo@silverlandinvestment.com
Guest House,Chambao Maldives,Kaafu,Guraidhoo,7372999,info@chambaomaldives.com
